411 | Orient Everest 18w Geo White 1... | Hidden-No Unique Image | UNRESOLVED / HIDDEN
1032 | Dawlance M/w... | Hidden-No Unique Image | UNRESOLVED / HIDDEN
1033 | Dawlance AC Split... | Hidden-No Unique Image | UNRESOLVED / HIDDEN
1034 | PEL WATER DISPENSER... | Hidden-No Unique Image | UNRESOLVED / HIDDEN
1035 | PEL 215 Pearl Water Dispenser ... | Hidden-No Unique Image | UNRESOLVED / HIDDEN
1036 | PEL Water Dispenser PWD-315 Sm... | Hidden-No Unique Image | UNRESOLVED / HIDDEN
1037 | PEL 316 Premier Water Dispense... | Hidden-No Unique Image | UNRESOLVED / HIDDEN
1038 | PEL Water Dispenser PWD-425 Fl... | Hidden-No Unique Image | UNRESOLVED / HIDDEN
1039 | PEL 525 Curved Glassdoor Dispe... | Hidden-No Unique Image | UNRESOLVED / HIDDEN
1040 | Dawlance DS-6000 Spinner Dryer... | Hidden-No Unique Image | UNRESOLVED / HIDDEN
1041 | Dawlance DW-6100-W Single Tub-... | Hidden-No Unique Image | UNRESOLVED / HIDDEN
1042 | Dawlance DW-6100 W Advanco-By ... | Hidden-No Unique Image | UNRESOLVED / HIDDEN
1043 | Dawlance DW-6550 Twin Tub-By E... | Hidden-No Unique Image | UNRESOLVED / HIDDEN
1044 | Dawlance DW-7200 Single Tub-By... | Hidden-No Unique Image | UNRESOLVED / HIDDEN
1045 | Dawlance DW-7500 C Twin Tub-By... | Hidden-No Unique Image | UNRESOLVED / HIDDEN
1046 | Dawlance DW-7500 G Twin Tub-By... | Hidden-No Unique Image | UNRESOLVED / HIDDEN
1047 | Dawlance DS-9000 Spinner Dryer... | Hidden-No Unique Image | UNRESOLVED / HIDDEN
1048 | Dawlance DW-9100 Advanco Singl... | Hidden-No Unique Image | UNRESOLVED / HIDDEN
1049 | Dawlance DW 9100 Glass Lid Sin... | Hidden-No Unique Image | UNRESOLVED / HIDDEN
1050 | Dawlance DW 9200 WFL-By Electr... | Hidden-No Unique Image | UNRESOLVED / HIDDEN
1051 | Dawlance DW 9200 CFL-By Electr... | Hidden-No Unique Image | UNRESOLVED / HIDDEN
1052 | Dawlance 8550 Twin Tub-By Elec... | Hidden-No Unique Image | UNRESOLVED / HIDDEN
1053 | Dawlance DW-10500 SEMi-AUTO TW... | Hidden-No Unique Image | UNRESOLVED / HIDDEN
1054 | Dawlance DW-260 LVS-By Electro... | Hidden-No Unique Image | UNRESOLVED / HIDDEN
1055 | DWT-270 C LVS+ -By Electronics... | Hidden-No Unique Image | UNRESOLVED / HIDDEN
1056 | Dawlance DW-1165-By Electronic... | Hidden-No Unique Image | UNRESOLVED / HIDDEN
1057 | Dawlance DW-1167 FLP-By Electr... | Hidden-No Unique Image | UNRESOLVED / HIDDEN
1058 | DW-11467 es... | Hidden-No Unique Image | UNRESOLVED / HIDDEN
1059 | Dawlance DW-1167 FLT-By Electr... | Hidden-No Unique Image | UNRESOLVED / HIDDEN
1060 | Dawlance DW-1775-By Electronic... | Hidden-No Unique Image | UNRESOLVED / HIDDEN
1061 | Dawlance DW-1166 ADS-By Electr... | Hidden-No Unique Image | UNRESOLVED / HIDDEN
1062 | Dawlance DW-1470 PL-By Electro... | Hidden-No Unique Image | UNRESOLVED / HIDDEN
1063 | Dawlance DW-1471 FLP-By Electr... | Hidden-No Unique Image | UNRESOLVED / HIDDEN
1064 | Dawlance DW-9060-By Electronic... | Hidden-No Unique Image | UNRESOLVED / HIDDEN
1065 | DWT 9540... | Hidden-No Unique Image | UNRESOLVED / HIDDEN
1066 | DWT 9560... | Fixed With Valid Local Image | FIXED
1067 | Haier HWM 60-50 Spinner-By Ele... | Hidden-No Unique Image | UNRESOLVED / HIDDEN
1068 | Haier HWM 80-1217  8KG-By Elec... | Hidden-No Unique Image | UNRESOLVED / HIDDEN
1069 | Haier HWM-120-35 Washer-By Ele... | Hidden-No Unique Image | UNRESOLVED / HIDDEN
1070 | Haier HWM-130-1217 Semi Auto S... | Hidden-No Unique Image | UNRESOLVED / HIDDEN
1071 | Haier HWM-75 AS Twin Tub-By El... | Hidden-No Unique Image | UNRESOLVED / HIDDEN
1072 | Haier HWM-80 AS Twin Tub-By El... | Hidden-No Unique Image | UNRESOLVED / HIDDEN
1073 | Haier HWM 100 AS Twin Tub-By E... | Hidden-No Unique Image | UNRESOLVED / HIDDEN
1074 | HAIER HWM 100 CS TWIN TUB-By E... | Hidden-No Unique Image | UNRESOLVED / HIDDEN
1075 | Haier HWM 100 BS Twin Tub-By E... | Hidden-No Unique Image | UNRESOLVED / HIDDEN
1076 | Haier HWM-120 AS Washer and Sp... | Hidden-No Unique Image | UNRESOLVED / HIDDEN
1077 | Haier HWM-80-186 Semi Automati... | Hidden-No Unique Image | UNRESOLVED / HIDDEN
1078 | Haier HWM 110-186 Twin Tub-By ... | Hidden-No Unique Image | UNRESOLVED / HIDDEN
1079 | HAIER HWM-80-1269 X Automatic ... | Hidden-No Unique Image | UNRESOLVED / HIDDEN
1080 | HAIER HWM 85-826 E Full Automa... | Hidden-No Unique Image | UNRESOLVED / HIDDEN
1081 | HAIER HWM 90-1708 Automatic To... | Hidden-No Unique Image | UNRESOLVED / HIDDEN
1082 | Haier HWM 90-826 90-826-9 kg F... | Hidden-No Unique Image | UNRESOLVED / HIDDEN
1083 | 100-826... | Fixed With Valid Local Image | FIXED
1084 | Haier HWM 90-1789-9kg Fully Au... | Hidden-No Unique Image | UNRESOLVED / HIDDEN
1085 | Haier HWM 95-1678 ES8/JT-9.5 K... | Hidden-No Unique Image | UNRESOLVED / HIDDEN
1086 | 100-1678 E... | Hidden-No Unique Image | UNRESOLVED / HIDDEN
1087 | Haier HWM-120-826 E-12 kg Full... | Hidden-No Unique Image | UNRESOLVED / HIDDEN
1088 | Haier HWM-120-826 B-Top-Load 1... | Hidden-No Unique Image | UNRESOLVED / HIDDEN
1089 | Haier HWM 120-1789-Top load Wa... | Hidden-No Unique Image | UNRESOLVED / HIDDEN
1090 | Haier HWM 120-1678-Washing Mac... | Hidden-No Unique Image | UNRESOLVED / HIDDEN
1091 | HWM 120-1678 ES9... | Hidden-No Unique Image | UNRESOLVED / HIDDEN
1092 | Haier HWM-120 1978-Top Load Au... | Hidden-No Unique Image | UNRESOLVED / HIDDEN
1093 | Haier HWM 150-1708-15Kg Top Lo... | Hidden-No Unique Image | UNRESOLVED / HIDDEN
1094 | Haier HWM 150-B1678 ES8-15 KG ... | Hidden-No Unique Image | UNRESOLVED / HIDDEN
1095 | Haier HWM 150-1978-15 KG Top L... | Hidden-No Unique Image | UNRESOLVED / HIDDEN
1096 | Haier HW-80 BP12929 S3-8kg Fro... | Hidden-No Unique Image | UNRESOLVED / HIDDEN
1097 | Haier HW 80-BP 12929 S6- Front... | Hidden-No Unique Image | UNRESOLVED / HIDDEN
1098 | Haier HW-90 BP 14959 S8-Automa... | Hidden-No Unique Image | UNRESOLVED / HIDDEN
1099 | HW-90 BP 14959 S6... | Fixed With Valid Local Image | FIXED
1100 | Haier HW 100-BP14929 S3-Front ... | Hidden-No Unique Image | UNRESOLVED / HIDDEN
1101 | HW-120-BP14929 S6... | Hidden-No Unique Image | UNRESOLVED / HIDDEN
1102 | HW-105 B14959 S8 UI... | Hidden-No Unique Image | UNRESOLVED / HIDDEN
1103 | Orient Twister 1350 12 Kg Meta... | Hidden-No Unique Image | UNRESOLVED / HIDDEN
1104 | Orient Twister 1150 10 Kg Meta... | Hidden-No Unique Image | UNRESOLVED / HIDDEN
1105 | PEL PWMS-8050-By Electronics W... | Hidden-No Unique Image | UNRESOLVED / HIDDEN
1106 | PEL PWMS-1250-By Electronics W... | Hidden-No Unique Image | UNRESOLVED / HIDDEN
1107 | PEL PWMS-1050-By Electronics W... | Hidden-No Unique Image | UNRESOLVED / HIDDEN
1108 | PEL PAWM 900-By Electronics Wo... | Hidden-No Unique Image | UNRESOLVED / HIDDEN
1109 | PEL PAWM 900i-By Electronincs ... | Hidden-No Unique Image | UNRESOLVED / HIDDEN
1110 | PEL PAWM 1100-By Electronics W... | Hidden-No Unique Image | UNRESOLVED / HIDDEN
1111 | PEL PAWM 1100i-By Electronics ... | Hidden-No Unique Image | UNRESOLVED / HIDDEN
1112 | SuperAsia SA 110-By Electronic... | Hidden-No Unique Image | UNRESOLVED / HIDDEN
1113 | SuperAsia SA 111-By Electronic... | Hidden-No Unique Image | UNRESOLVED / HIDDEN
1114 | SuperAsia SA 210-By Electronic... | Hidden-No Unique Image | UNRESOLVED / HIDDEN
1115 | SuperAsia SA 240 Shower wash-B... | Hidden-No Unique Image | UNRESOLVED / HIDDEN
1116 | SuperAsia SA 255-By Electronic... | Hidden-No Unique Image | UNRESOLVED / HIDDEN
1117 | SuperAsia SA 260-By Electronic... | Hidden-No Unique Image | UNRESOLVED / HIDDEN
1118 | SuperAsia SA 270-By Electronic... | Hidden-No Unique Image | UNRESOLVED / HIDDEN
1119 | SuperAsia SA 272-By Electronic... | Hidden-No Unique Image | UNRESOLVED / HIDDEN
1120 | SuperAsia SA-280 Grand Wash-By... | Hidden-No Unique Image | UNRESOLVED / HIDDEN
1121 | SuperAsia SA 290-By Electronic... | Hidden-No Unique Image | UNRESOLVED / HIDDEN
1122 | SuperAsia SA 241 Smart Wash-By... | Hidden-No Unique Image | UNRESOLVED / HIDDEN
1123 | SuperAsia SA-242 Clean Wash-By... | Hidden-No Unique Image | UNRESOLVED / HIDDEN
1124 | SuperAsia SA-244 Super Style-B... | Hidden-No Unique Image | UNRESOLVED / HIDDEN
1125 | SuperAsia SA-245 Easy Wash-By ... | Hidden-No Unique Image | UNRESOLVED / HIDDEN
1126 | SuperAsia SA-518-By Electronic... | Hidden-No Unique Image | UNRESOLVED / HIDDEN
1127 | SuperAsia SD-525-By electronic... | Hidden-No Unique Image | UNRESOLVED / HIDDEN
1128 | SuperAsia SD-540-By Electronic... | Hidden-No Unique Image | UNRESOLVED / HIDDEN
1129 | SuperAsia 7kg Dryer Steel SA-5... | Hidden-No Unique Image | UNRESOLVED / HIDDEN
1130 | SuperAsia SA 555-By Electronic... | Hidden-No Unique Image | UNRESOLVED / HIDDEN
1131 | ROYAL... | Hidden-No Unique Image | UNRESOLVED / HIDDEN
1132 | Royal Washing Machine RW-1010 ... | Hidden-No Unique Image | UNRESOLVED / HIDDEN
1133 | Royal Washing Machine 1012 FB ... | Hidden-No Unique Image | UNRESOLVED / HIDDEN
1134 | Royal Washing Machine RW-1014 ... | Hidden-No Unique Image | UNRESOLVED / HIDDEN
1135 | Royal 10 KG Single Tub Washer ... | Hidden-No Unique Image | UNRESOLVED / HIDDEN
1136 | 8090... | Hidden-No Unique Image | UNRESOLVED / HIDDEN
1137 | 8092... | Hidden-No Unique Image | UNRESOLVED / HIDDEN
1138 | 8094... | Hidden-No Unique Image | UNRESOLVED / HIDDEN
1139 | 9096... | Hidden-No Unique Image | UNRESOLVED / HIDDEN
1140 | Royal RD-110 Spin Dryer-By Ele... | Hidden-No Unique Image | UNRESOLVED / HIDDEN
1141 | Royal Spinner Machine RD-112T-... | Hidden-No Unique Image | UNRESOLVED / HIDDEN
1142 | Royal RWM-8010 Washing Machine... | Hidden-No Unique Image | UNRESOLVED / HIDDEN
1143 | Royal RWM-8012  Washing Machin... | Hidden-No Unique Image | UNRESOLVED / HIDDEN
1144 | Kenwood 10KG Twin Tub Washing ... | Hidden-No Unique Image | UNRESOLVED / HIDDEN
1145 | Kenwood 9KG Twin Tub Washing M... | Hidden-No Unique Image | UNRESOLVED / HIDDEN
1146 | Kenwood 21059 Twin Tub Washing... | Hidden-No Unique Image | UNRESOLVED / HIDDEN
1147 | Kenwood KWM 211059 SAG 10KG-By... | Hidden-No Unique Image | UNRESOLVED / HIDDEN
1148 | Kenwood 21159 Twin Tub Washing... | Hidden-No Unique Image | UNRESOLVED / HIDDEN
1149 | Kenwood KWM 231159 Twin Tub Wa... | Hidden-No Unique Image | UNRESOLVED / HIDDEN
1150 | Kenwood KWM-899 Single Tub Gre... | Hidden-No Unique Image | UNRESOLVED / HIDDEN
1151 | Kenwood KWS-1050 Single Tub Sp... | Hidden-No Unique Image | UNRESOLVED / HIDDEN
1152 | Homage HW-49112  Washing Machi... | Hidden-No Unique Image | UNRESOLVED / HIDDEN
1153 | Homage HW-49112 SAP Washing Ma... | Hidden-No Unique Image | UNRESOLVED / HIDDEN
1154 | Homage HW-49102SAP Semi-Automa... | Hidden-No Unique Image | UNRESOLVED / HIDDEN
1155 | Homage HW-49102 Semi-Automatic... | Hidden-No Unique Image | UNRESOLVED / HIDDEN
1156 | Homage HW-4991WP Single Tub Wa... | Hidden-No Unique Image | UNRESOLVED / HIDDEN
1157 | Homage HW-49101SP Spin Dryer-B... | Hidden-No Unique Image | UNRESOLVED / HIDDEN
1158 | DW-10500... | Fixed With Valid Local Image | FIXED
1159 | DW-10600... | Hidden-No Unique Image | UNRESOLVED / HIDDEN
1160 | HAIER AUTOMATIC... | Hidden-No Unique Image | UNRESOLVED / HIDDEN
1161 | Front Load Washing Machine... | Hidden-No Unique Image | UNRESOLVED / HIDDEN
1162 | HW-105-B 14959 S8... | Hidden-No Unique Image | UNRESOLVED / HIDDEN
1163 | HWD-105 149 With dryer... | Hidden-No Unique Image | UNRESOLVED / HIDDEN
1164 | 1099... | Hidden-No Unique Image | UNRESOLVED / HIDDEN
1165 | 1043... | Hidden-No Unique Image | UNRESOLVED / HIDDEN
1166 | 1044... | Hidden-No Unique Image | UNRESOLVED / HIDDEN
1167 | 1046... | Hidden-No Unique Image | UNRESOLVED / HIDDEN
1168 | MEAT MINCER / RICE COOKER... | Hidden-No Unique Image | UNRESOLVED / HIDDEN
1169 | 1036... | Hidden-No Unique Image | UNRESOLVED / HIDDEN
1170 | 3040... | Hidden-No Unique Image | UNRESOLVED / HIDDEN
1171 | 5350... | Hidden-No Unique Image | UNRESOLVED / HIDDEN
1172 | KITCHEN ROBOT... | Hidden-No Unique Image | UNRESOLVED / HIDDEN
1173 | 496 C... | Hidden-No Unique Image | UNRESOLVED / HIDDEN
1174 | 497 C... | Hidden-No Unique Image | UNRESOLVED / HIDDEN
1175 | 4981... | Hidden-No Unique Image | UNRESOLVED / HIDDEN
1176 | 495 C... | Hidden-No Unique Image | UNRESOLVED / HIDDEN
1177 | VACCUM CLEANER... | Hidden-No Unique Image | UNRESOLVED / HIDDEN
1178 | 3669... | Hidden-No Unique Image | UNRESOLVED / HIDDEN
1179 | 3469... | Hidden-No Unique Image | UNRESOLVED / HIDDEN
1180 | 3569... | Hidden-No Unique Image | UNRESOLVED / HIDDEN
1181 | MICRO OVEN... | Hidden-No Unique Image | UNRESOLVED / HIDDEN
1182 | HEATER... | Hidden-No Unique Image | UNRESOLVED / HIDDEN
1183 | 5145... | Hidden-No Unique Image | UNRESOLVED / HIDDEN
1184 | 5146... | Hidden-No Unique Image | UNRESOLVED / HIDDEN
1185 | 5147... | Hidden-No Unique Image | UNRESOLVED / HIDDEN
1186 | 5307... | Hidden-No Unique Image | UNRESOLVED / HIDDEN
1187 | POP-UP TOASTER... | Hidden-No Unique Image | UNRESOLVED / HIDDEN
1188 | 2542... | Hidden-No Unique Image | UNRESOLVED / HIDDEN
1189 | 2538... | Hidden-No Unique Image | UNRESOLVED / HIDDEN
1190 | 2589... | Hidden-No Unique Image | UNRESOLVED / HIDDEN
1191 | 2528... | Hidden-No Unique Image | UNRESOLVED / HIDDEN
1192 | 2533... | Hidden-No Unique Image | UNRESOLVED / HIDDEN
1193 | MANUAL ITEM... | Hidden-No Unique Image | UNRESOLVED / HIDDEN
==================================================
📊 FINAL FULL CATALOG AUDIT SUMMARY
==================================================
Total Products Processed : 782
Successfully Fixed/Local : 64
Variant Grouped (Cards)  : 0
Hidden (No Image/Sketch) : 718
==================================================
